,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,wanaka,-44.7,169.15,288.12,65,60,2.71,NZ,1619663346
370,miastko,54.0028,16.9826,279.26,58,100,3.39,PL,1619663346
371,isangel,-19.55,169.2667,301.15,57,20,2.57,VU,1619663147
372,athabasca,54.7169,-113.2854,276.15,80,100,1.03,CA,1619663347
373,salalah,17.0151,54.0924,302.15,79,75,2.06,OM,1619663140
374,portales,34.1862,-103.3344,284.26,93,75,8.23,US,1619663347
375,husavik,66.0449,-17.3389,271.15,80,0,2.06,IS,1619663244
376,eureka,40.8021,-124.1637,285.93,86,54,0.45,US,1619663348
377,ponta delgada,37.7333,-25.6667,287.15,67,75,1.54,PT,1619663273
378,krasnyy chikoy,50.3643,108.7512,276.57,29,55,0.88,RU,1619663230
379,katsuura,35.1333,140.3,290.15,94,75,3.6,JP,1619663349
380,dhamtari,20.7072,81.5497,302.15,34,45,2.57,IN,1619663349
381,norden,53.6,7.2,280.93,78,100,1.79,DE,1619663350
382,chapais,49.7834,-74.8492,280.15,53,1,2.57,CA,1619663113
383,ginir,7.1333,40.7,287.79,88,64,1.33,ET,1619663350
384,chippewa falls,44.9369,-91.3929,285.93,66,1,1.54,US,1619663156
385,tazovskiy,67.4667,78.7,272.63,95,100,2.57,RU,1619663351
386,sri aman,1.2376,111.4621,301.15,83,20,1.03,MY,1619663351
387,chicama,-7.8447,-79.1469,291.15,88,40,2.06,PE,1619663351
388,roma,43.2128,-75.4557,288.15,94,90,1.64,US,1619663352
389,la paz centro,12.34,-86.6753,302.15,65,75,3.09,NI,1619663352
390,port blair,11.6667,92.75,301.15,89,40,0.51,IN,1619663228
391,raudeberg,61.9875,5.1352,277.59,78,11,8.21,NO,1619663353
392,lustenau,47.4257,9.6753,286.15,82,90,1.54,AT,1619663353
393,kostino,58.9097,53.2691,275.3,88,94,3.09,RU,1619663354
394,cardoso,-20.0819,-49.9142,291.62,37,96,1.74,BR,1619663354
395,skibbereen,51.55,-9.2667,279.15,70,75,4.12,IE,1619663354
396,muroto,33.2833,134.15,289.15,94,75,2.57,JP,1619663355
397,provideniya,64.3833,-173.3,274.15,60,20,7.0,RU,1619663355
398,ponnampet,12.15,75.9333,295.78,86,42,0.94,IN,1619663355
399,san juan del sur,11.2529,-85.8705,300.39,73,100,2.62,NI,1619663356
400,jand,33.4299,72.0193,299.5,39,59,2.12,PK,1619663356
401,ossora,59.2353,163.0719,273.8,98,100,2.15,RU,1619663357
402,inhambane,-23.865,35.3833,295.86,78,0,2.19,MZ,1619663357
403,macamic,48.7502,-78.9996,278.15,65,40,2.87,CA,1619663357
404,dubai,25.2582,55.3047,304.15,33,0,1.03,AE,1619663184
405,luganville,-15.5333,167.1667,300.3,64,100,5.83,VU,1619663358
406,lidkoping,58.5052,13.1577,276.15,93,90,2.57,SE,1619663358
407,puebloviejo,10.9938,-74.2844,301.15,74,40,1.54,CO,1619663359
408,muli,2.9167,73.5667,301.59,66,99,3.97,MV,1619663359
409,daru,-9.0763,143.2092,298.46,87,99,1.67,PG,1619663359
410,erenhot,43.6475,111.9767,276.68,18,0,8.17,CN,1619663360
411,pokhara,28.2333,83.9833,302.34,14,12,1.38,NP,1619663360
412,beinamar,8.6698,15.3813,299.28,59,99,2.06,TD,1619663360
413,xai-xai,-25.0519,33.6442,292.35,91,0,1.86,MZ,1619663361
414,wangqing,43.3218,129.7634,287.52,34,15,5.39,CN,1619663361
415,oudtshoorn,-33.5907,22.2014,287.15,94,90,3.6,ZA,1619663361
416,grande prairie,55.1667,-118.8027,276.15,70,75,4.12,CA,1619663362
417,karratha,-20.7377,116.8463,304.64,19,0,5.68,AU,1619663078
418,caluquembe,-13.7833,14.6833,289.84,74,85,0.98,AO,1619663362
419,namibe,-15.1961,12.1522,296.46,71,66,4.0,AO,1619663363
420,formosa,-26.1775,-58.1781,287.15,94,0,2.06,AR,1619663320
421,manali,13.1667,80.2667,302.15,74,0,3.09,IN,1619663363
422,beyneu,45.3167,55.2,287.28,39,98,4.41,KZ,1619663364
423,ust-ishim,57.6935,71.1665,282.1,68,100,2.59,RU,1619663364
424,portobelo,9.55,-79.65,299.26,99,100,1.79,PA,1619663364
425,yar-sale,66.8333,70.8333,262.46,95,84,2.53,RU,1619663365
426,harwich,51.9419,1.2844,279.26,72,99,4.92,GB,1619663365
427,saint-francois,46.4154,3.9054,283.15,87,90,1.54,FR,1619663366
428,stykkisholmur,65.0757,-22.7297,277.21,69,30,1.69,IS,1619663366
429,valdivia,-39.8142,-73.2459,281.15,100,90,1.03,CL,1619663366
430,cockburn town,21.4612,-71.1419,298.74,75,29,9.41,TC,1619663186
431,cortez,37.3489,-108.5859,289.15,27,1,6.17,US,1619663367
432,touros,-5.1989,-35.4608,298.15,83,20,1.54,BR,1619663367
433,fangshan,39.6983,115.9925,291.48,25,0,6.0,CN,1619663368
434,belmonte,-15.8631,-38.8828,299.15,78,75,1.03,BR,1619663368
435,hovd,48.0056,91.6419,288.71,31,15,1.05,MN,1619663368
436,deputatskiy,69.3,139.9,267.66,77,20,1.72,RU,1619663186
437,nanakuli,21.3906,-158.1547,300.15,61,90,3.09,US,1619663369
438,mogadishu,2.0371,45.3438,301.24,74,18,4.41,SO,1619663369
439,outjo,-20.1167,16.15,290.65,40,3,1.95,NA,1619663370
440,porto murtinho,-21.6989,-57.8825,289.11,55,17,2.49,BR,1619663370
441,monrovia,6.3005,-10.7969,298.15,94,40,2.86,LR,1619663189
442,viesca,25.35,-102.8,307.15,9,75,10.29,MX,1619663371
443,mozarlandia,-14.7447,-50.5706,296.81,60,13,2.84,BR,1619663371
444,afsin,38.2477,36.914,287.51,56,99,0.98,TR,1619663371
445,pasighat,28.0667,95.3333,304.06,31,89,0.31,IN,1619663372
446,mount pleasant,32.7941,-79.8626,294.26,100,40,4.5,US,1619663366
447,sabzevar,36.2126,57.6819,295.66,42,99,1.16,IR,1619663372
448,melfi,40.9965,15.6514,280.37,99,30,2.96,IT,1619663372
449,paranaiba,-19.6772,-51.1908,291.83,33,82,2.62,BR,1619663373
450,port arthur,38.8,121.2667,290.15,45,0,5.0,CN,1619663373
451,ostroda,53.6967,19.9649,279.82,69,0,1.54,PL,1619663373
452,fort myers beach,26.452,-81.9481,299.26,57,40,4.63,US,1619663374
453,rivadavia,-33.1905,-68.4608,288.15,72,0,3.35,AR,1619663374
454,dakar,14.6937,-17.4441,293.15,88,0,7.72,SN,1619663471
455,teguise,29.0605,-13.564,291.15,77,0,2.69,ES,1619663375
456,ahipara,-35.1667,173.1667,291.29,56,10,4.42,NZ,1619663375
457,bengkulu,-3.8004,102.2655,300.73,74,81,0.53,ID,1619663214
458,siocon,7.7061,122.1353,302.23,73,48,0.28,PH,1619663376
459,mon,26.75,95.1,303.63,31,0,1.26,IN,1619663376
460,morgan city,29.6994,-91.2068,297.15,88,1,4.12,US,1619663376
461,maldonado,-34.6667,-54.9167,285.37,100,0,1.54,UY,1619663377
462,halifax,44.6453,-63.5724,282.15,81,75,2.57,CA,1619663329
463,lodja,-3.4833,23.4333,293.96,98,100,0.92,CD,1619663315
464,mananjary,-21.2167,48.3333,295.04,92,43,1.81,MG,1619663377
465,jingdezhen,29.2947,117.2079,294.17,72,99,2.81,CN,1619663378
466,mazyr,52.0495,29.2456,274.79,79,21,3.0,BY,1619663378
467,chadiza,-14.0678,32.4392,289.64,96,9,1.64,ZM,1619663378
468,sao filipe,14.8961,-24.4956,295.68,78,77,3.74,CV,1619663379
469,acajutla,13.5928,-89.8275,300.78,68,100,1.64,SV,1619663379
470,coahuayana,18.7333,-103.6833,296.28,89,15,1.12,MX,1619663145
471,zdunska wola,51.5992,18.9397,278.15,67,100,1.79,PL,1619663380
472,agadir,30.4202,-9.5982,290.15,88,40,1.54,MA,1619663745
473,corinto,37.9407,22.9573,287.15,82,20,1.14,GR,1619663380
474,leningradskiy,69.3833,178.4167,269.97,70,100,0.61,RU,1619663354
475,ostrovnoy,68.0531,39.5131,263.82,86,68,3.83,RU,1619663257
476,ewa beach,21.3156,-158.0072,300.15,61,90,3.09,US,1619663381
477,maceio,-9.6658,-35.7353,296.15,100,75,1.54,BR,1619663133
478,danilov,58.1908,40.1717,272.96,93,97,1.37,RU,1619663381
479,muros,42.7762,-9.0603,280.93,85,11,3.56,ES,1619663382
480,festus,38.2206,-90.396,293.15,97,100,3.48,US,1619663382
481,solenzo,12.1833,-4.0833,303.61,46,86,5.46,BF,1619663382
482,san quintin,30.4833,-115.95,289.41,73,0,4.0,MX,1619663383
483,preobrazheniye,42.9019,133.9064,284.19,43,3,2.32,RU,1619663383
484,cabedelo,-6.9811,-34.8339,297.15,94,0,0.51,BR,1619663384
485,padang,-0.9492,100.3543,298.15,94,75,2.06,ID,1619663299
486,diu,20.7141,70.9822,300.84,59,9,3.09,IN,1619663091
487,urubicha,-15.3833,-62.95,291.32,63,99,1.39,BO,1619663384
488,shache,38.4167,77.2406,293.71,12,0,0.85,CN,1619663385
489,makakilo city,21.3469,-158.0858,300.15,61,90,3.09,US,1619663180
490,oxford,51.7522,-1.256,276.15,87,90,2.06,GB,1619663240
491,saint-pierre,-21.3393,55.4781,297.15,69,0,3.6,RE,1619663385
492,inuvik,68.3499,-133.7218,277.15,52,93,4.12,CA,1619663386
493,rio branco,-9.9747,-67.81,297.15,88,0,1.54,BR,1619663386
494,maragogi,-9.0122,-35.2225,298.53,83,23,2.72,BR,1619663386
495,zaysan,47.4667,84.8667,293.03,35,11,0.18,KZ,1619663387
496,broome,42.2506,-75.833,289.26,88,90,2.06,US,1619663387
497,constitucion,-35.3333,-72.4167,287.61,71,0,3.08,CL,1619663388
498,ilulissat,69.2167,-51.1,273.15,80,100,2.86,GL,1619663388
499,barcelos,41.5388,-8.6151,283.71,93,20,0.51,PT,1619663236
500,causapscal,48.3542,-67.227,275.57,88,32,1.36,CA,1619663388
501,christchurch,-43.5333,172.6333,293.15,34,13,1.54,NZ,1619663305
502,panzhihua,26.5851,101.7128,291.62,65,100,0.44,CN,1619663389
503,elk point,42.6833,-96.6836,288.15,71,1,1.54,US,1619663389
504,merauke,-8.4667,140.3333,298.54,86,100,2.28,ID,1619663106
505,nantucket,41.2835,-70.0995,282.15,100,90,4.63,US,1619663338
506,conde,-7.2597,-34.9075,297.15,94,0,0.51,BR,1619663390
507,imeni vorovskogo,55.7233,38.3414,277.15,81,0,2.0,RU,1619663390
508,huangpi,30.8845,114.3779,296.15,60,0,6.0,CN,1619663391
509,punto fijo,11.6956,-70.1996,298.78,78,92,9.81,VE,1619663391
510,thinadhoo,0.5333,72.9333,301.44,73,85,3.47,MV,1619663227
511,oum hadjer,13.2954,19.6966,301.79,11,98,2.84,TD,1619663392
512,sotouboua,8.5667,0.9833,296.79,82,100,1.0,TG,1619663392
513,axim,4.8699,-2.2405,299.83,84,100,2.33,GH,1619663392
514,pacific grove,36.6177,-121.9166,292.59,45,1,2.06,US,1619663307
515,nishihara,26.1842,127.7558,295.15,88,90,6.17,JP,1619663393
516,mongar,27.2747,91.2396,295.17,40,0,0.78,BT,1619663393
517,strelka,58.0728,93.0344,277.3,91,100,1.45,RU,1619663394
518,toowoomba,-27.55,151.9667,294.15,56,75,5.66,AU,1619663394
519,camabatela,-8.1881,15.375,290.18,89,99,0.21,AO,1619663394
520,san policarpo,12.1791,125.5072,301.32,66,15,2.2,PH,1619663395
521,anzio,41.4853,12.6179,287.59,99,24,0.45,IT,1619663395
522,zandvoort,52.3749,4.5341,281.48,81,75,4.12,NL,1619663396
523,pontes e lacerda,-15.2261,-59.3353,292.12,73,94,0.9,BR,1619663396
524,portland,45.5234,-122.6762,293.71,48,100,0.68,US,1619663581
525,calama,-22.4667,-68.9333,285.15,22,0,4.12,CL,1619663397
526,kudahuvadhoo,2.6708,72.8944,301.53,65,100,3.82,MV,1619663263
527,newport,51.5877,-2.9984,278.15,91,18,3.97,GB,1619663182
528,juxtlahuaca,17.4294,-99.1467,296.2,62,22,2.73,MX,1619663397
529,pauini,-7.7136,-66.9764,295.45,98,100,1.37,BR,1619663398
530,morant bay,17.8815,-76.4093,300.15,78,20,5.14,JM,1619663300
531,nueva concepcion,14.2,-91.3,301.15,78,75,2.57,GT,1619663398
532,marsh harbour,26.5412,-77.0636,297.04,78,100,7.14,BS,1619663399
533,qandala,11.472,49.8728,302.12,71,81,0.97,SO,1619663399
534,comodoro rivadavia,-45.8667,-67.5,288.15,63,0,1.54,AR,1619663399
535,vagur,61.4732,-6.8119,278.46,66,51,9.92,FO,1619663400
536,senno,59.5336,33.9167,270.37,89,100,2.18,RU,1619663400
537,doka,13.5167,35.7667,302.53,36,17,4.95,SD,1619663241
538,yaan,7.3833,8.5667,298.79,72,100,2.76,NG,1619663401
539,progreso,21.2833,-89.6667,304.15,45,40,9.26,MX,1619663401
540,yarada,17.65,83.2667,303.15,84,20,2.06,IN,1619663401
541,lincolnton,35.4737,-81.2545,296.15,60,1,3.6,US,1619663236
542,klaksvik,62.2266,-6.589,276.15,81,75,1.54,FO,1619663402
543,lulea,65.5842,22.1547,270.15,86,20,1.54,SE,1619663402
544,arman,59.7,150.1667,276.5,64,14,0.56,RU,1619663403
545,frisco,33.1507,-96.8236,298.15,85,100,4.82,US,1619663201
546,dibulla,11.2725,-73.3091,297.86,87,98,1.78,CO,1619663403
547,cuamba,-14.8031,36.5372,291.61,97,15,0.4,MZ,1619663404
548,ambilobe,-13.2,49.05,295.08,94,5,1.6,MG,1619663404
549,dunshaughlin,53.5125,-6.54,278.15,87,75,3.09,IE,1619663405
550,hirara,24.8,125.2833,295.15,88,75,5.66,JP,1619663405
551,hun,29.1268,15.9477,302.28,11,93,2.69,LY,1619663405
552,waslala,13.2333,-85.3833,295.2,70,99,1.58,NI,1619663406
553,canico,32.6333,-16.85,289.15,72,40,2.57,PT,1619663406
